116	8943	3	23.98
120	2005	3	13.49
4319	14	6	20.23
101	9565	4	28.95
111	766	6	19.28
2956	127	3	18.16
9045	1704	3	52.14
110	182	12	10.24
191	194	3	6.4
116	802	9	40.75
1067	173	3	18.08
230	136	5	8
685	103	7	11.13
138	329	4	8.86
106	243	20	47.47
111	1192	3	8.49
109	454	4	5.22
345	121	8	19.97
140	237	10	29.34
104	222	159	823.09
157	296	4	11.44
395	105	29	122.42
3452	14	3	4.11
16	227	15	37.36
244	148	3	4.05
1800	1084	3	37.15
122	7036	6	63.35
3412	109	7	48.21
3882	14	7	24.89
898	12	10	13.39
130	2878	4	27.51
105	3716	4	20.69
101	2134	4	8.73
5709	14	4	12.58
109	155	23	22
163	587	4	19.22
1494	200	3	22.03
119	774	4	11.73
146	348	5	15.54
193	663	3	16.54
887	3967	3	41.16
443	1348	6	67.25
374	108	5	6.23
145	321	5	13.54
101	10389	3	17.27
118	107	53	26.71
171	1713	5	40.42
111	5611	6	49.8
139	185	15	41.94
1150	14	6	4.25
110	1305	4	13.97
143	880	3	12.27
203	608	5	32.28
501	460	7	65.09
133	279	22	104.51
1905	450	3	31.32
410	114	10	29.39
106	3848	3	15.39
2361	2514	5	80.77
104	8470	4	28.32
466	123	3	5.77
142	5328	3	24.7
447	119	12	46.01
131	1890	3	15.74
101	1202	12	38.87
104	1071	10	36.2
105	680	12	44.39
459	116	5	10.89
2405	128	3	16.83
1289	123	5	25.43
3103	2167	3	45.63
5391	3843	3	54.08
102	1436	5	9.74
577	14	42	121.53
3646	12	3	5.48
6529	14	3	8.3
303	721	3	21.55
896	162	4	22.93
795	137	4	16.92
12	878	25	78.75
2133	482	5	59.87
115	2800	4	21.49
111	594	15	67.33
110	199	15	21.23
509	167	4	18.68
165	164	12	35.26
773	107	5	13.47
144	209	4	4.61
5952	8	3	23.6
621	114	7	22.21
345	147	4	10.64
7321	14	4	15.8
106	264	25	77.08
343	174	3	10.14
143	427	5	17.38
119	1024	6	26.03
13867	157	3	38.2
102	5349	4	18.42
178	3811	3	27.02
601	486	4	34.68
103	4328	3	11.05
103	853	6	10.37
186	137	12	28.72
59	206	9	15.95
101	1439	6	13.26
6879	113	3	21.5
119	2700	3	15.3
5703	14	6	26.05
256	146	3	4.21
2362	107	14	110.14
2501	10341	4	82.36
120	7072	4	34.19
3464	102	3	8
4074	122	3	18.86
120	346	8	20.18
7774	103	5	39.38
7052	2743	3	54
882	12	13	23.02
136	1631	4	23.15
110	138	49	70.51
509	113	4	6.94
346	412	13	121.45
147	543	3	9.6
113	135	33	29.86
811	12	10	11.75
103	2613	3	8
124	6084	3	23.54
177	121	35	106.18
16	548	7	24.29
1052	2729	3	39.88
59	133	32	53.56
1468	175	3	20.29
102	1137	8	19.11
105	1795	4	14.38
553	628	4	36.18
