196	3218	3	10.6
2	234	39	12.66
612	171	7	9.2
112	366	41	23.01
11639	112	3	13.01
2278	12528	3	44.04
198	1758	3	6.92
674	107	77	324.6
132	460	22	25.92
166	292	13	7.7
161	1984	4	8.74
573	466	3	7.35
2	4947	4	10.05
507	380	9	34.21
132	4917	3	6.81
674	3969	4	32.69
1847	116	8	8.4
800	214	5	9.77
6905	683	4	40.52
1113	172	5	9.37
106	4521	5	9.16
107	6502	4	8.02
1190	109	13	10.06
9084	106	4	11.61
117	2901	6	9.4
842	117	18	20.75
1248	315	3	9.21
246	9183	3	23.55
496	101	50	7.43
119	4750	4	6.99
532	110	22	6.72
3112	461	15	168.96
11048	107	3	8.36
120	892	13	10.58
118	142	175	19.56
200	104	125	7.55
120	2865	11	33.09
1397	277	3	8.73
139	2533	5	9.96
2812	782	4	30.83
10101	846	3	32.95
139	177	45	9.84
7273	13909	3	52.94
164	196	35	34.59
11747	104	3	8.91
2157	155	4	8.66
207	2076	3	8.28
9	1330	8	10.74
13915	123	3	16.21
124	5297	4	11.48
1720	9201	4	56.73
110	9123	4	12.05
123	6486	4	12.48
1173	493	3	12.34
128	137	147	47.57
154	1293	5	7.21
12	1335	30	16.41
12142	9	3	17.25
1466	231	3	7.36
8115	1224	3	33.23
357	3145	3	16.25
478	116	31	27.04
104	4502	7	10.12
183	6426	5	33.45
190	7358	3	16.62
383	378	12	44.39
356	284	6	9.26
7545	126	3	8.67
130	1336	8	11.26
104	516	53	37.85
4366	155	4	15.38
101	4135	9	10.33
1886	104	12	6.95
1352	251	4	12.54
124	1235	8	8.26
625	450	5	18.04
6010	129	3	8.02
8476	8	3	10.71
13529	413	3	32.49
11965	104	3	8.91
125	2425	7	14.39
9	2293	6	11.11
121	1169	10	8.55
1345	11468	3	40.61
117	8497	3	7.97
1018	122	12	12.47
5014	120	4	8.19
154	396	12	8.65
131	999	12	18.5
155	644	14	29.11
1679	952	26	331.59
12984	4962	3	49.8
1205	432	4	17.89
101	310	138	77.85
699	732	3	11.86
102	1172	24	9.23
104	3806	7	7.06
190	2408	3	8.78
12	2288	20	21.9
1679	9	7	10.75
7919	117	3	7.97
6897	496	6	68.21
4843	115	9	39.12
14	216	375	22.81
12	619	70	39.02
57	2694	7	17.82
130	2299	7	15.65
311	14	209	7.84
416	153	12	8.51
114	9323	3	8.9
339	102	83	10.56
303	963	3	7.31
5925	59	3	8
207	402	12	23.71
124	350	32	29.94
8	218	62	64.89
151	1552	5	8.1
213	6098	5	34.91
164	11212	3	17.72
2825	7497	5	70.99
587	450	3	7.53
112	9980	3	8.75
179	6242	6	42.09
15098	103	3	7.67
3672	161	3	8.47
195	275	16	22.14
107	347	35	7.9
1852	1866	3	24.61
345	966	4	13.55
8842	12	5	7.15
4624	111	4	7.12
132	8167	3	11.1
262	1485	4	14
114	3914	12	52.67
199	270	10	6.94
231	2248	4	15.89
120	4559	4	7.27
2570	1748	3	26
1901	259	4	16.08
11398	468	3	33.36
7074	9	3	9.28
14467	2033	3	43.18
1065	126	11	14.42
101	10885	4	8.47
230	915	4	8.51
235	1357	3	7.25
805	282	8	30.68
7770	248	3	20.93
592	5364	3	24.54
145	1933	5	8.32
533	4258	5	41.77
914	231	4	8.69
110	8156	3	8.36
2453	170	3	7.98
166	7590	3	14.32
950	705	3	13.45
