0,1,2,3,4,0,1,2,3,4
Finland,Jan - Junewww.usc.br,"Computing, Media Technology",Portuguese,Aug - Dec,France,Jan - Junewww.usc.br,"Computing, Media Technology",Portuguese,Aug - Dec
France,Jan - Junewww.usc.br,"Computing, Media Technology",Portuguese,Aug - Dec,Georgia,Jan - Junewww.usc.br,"Computing, Media Technology",Portuguese,Aug - Dec
Georgia,Jan - Junewww.usc.br,"Computing, Media Technology",Portuguese,Aug - Dec,GB,Jan - Junewww.usc.br,"Computing, Media Technology",Portuguese,Aug - Dec
GB,Jan - Junewww.usc.br,"Computing, Media Technology",Portuguese,Aug - Dec,GB,Business,"Computing, Media Technology",English,Aug - Dec
GB,Business,"Computing, Media Technology",English,Aug - Dec,Greece,Tourism (Erasmus+),"Computing, Media Technology",English,Aug - Dec
Greece,Tourism (Erasmus+),"Computing, Media Technology",English,Aug - Dec,Greece,"Business, Nursing, Therapy, Tourism,","Computing, Media Technology","Greek, possibly",Aug - Dec
Greece,"Business, Nursing, Therapy, Tourism,","Computing, Media Technology","Greek, possibly",Aug - Dec,Greece,Elect.Engineering (Erasmus+),"Computing, Media Technology",English,Aug - Dec
Greece,Elect.Engineering (Erasmus+),"Computing, Media Technology",English,Aug - Dec,Greece,Therapy and Rehabilitation (Erasmus+),"Computing, Media Technology","Greek, English",Aug - Dec
Greece,Therapy and Rehabilitation (Erasmus+),"Computing, Media Technology","Greek, English",Aug - Dec,Greece,"Business, Economics, Elect. & Civil","Computing, Media Technology","Greek, English",Aug - Dec
Greece,"Business, Economics, Elect. & Civil","Computing, Media Technology","Greek, English",Aug - Dec,Hungary,"Business, Economics, Elect. & Civil","Computing, Media Technology",English,Aug - Dec
Hungary,"Business, Economics, Elect. & Civil","Computing, Media Technology",English,Aug - Dec,Hungary,"Business, Econommics (Erasmus+)","Computing, Media Technology",German,Aug - Dec
Hungary,"Business, Econommics (Erasmus+)","Computing, Media Technology",German,Aug - Dec,Hungary,"Business, Engineering (Erasmus+)","Computing, Media Technology",English,Aug - Dec
